50002900,Acer Peripherals Inc,D77,,
35065900,Acer Peripherals Inc,D791/GSM,,
44928963,Acer Peripherals Inc,D792,,
44928900,Acer Peripherals Inc,D792/GSM XG530,,
33003100,Acer Peripherals Inc,G201,,
44842000,Acer Peripherals Inc,G301 G320 XG818,,
44876500,Acer Peripherals Inc,G520,,
44876563,Acer Peripherals Inc,G520,,
44922300,Acer Peripherals Inc,G520M,,
44876700,Acer Peripherals Inc,G530,,
44922200,Acer Peripherals Inc,G530M,,
44876400,Acer Peripherals Inc,G620,,
44881200,Acer Peripherals Inc,G625,,
44876600,Acer Peripherals Inc,G630,,
50000300,Acer Peripherals Inc,G70 GSM 56G70,,
50000302,Acer Peripherals Inc,G70,,
50000400,Acer Peripherals Inc,G75 GSM 56G75,,
50000402,Acer Peripherals Inc,G75,,
52025200,Acer Peripherals Inc,P80,,
35066000,Acer Peripherals Inc.,D792/GSM,,
35372200,Adajia Ltd,H820H,,
35372300,Adajia Ltd,K1-SUPER-1000,,
35372400,Adajia Ltd,K8-SUPER-800S,,
35372100,Adajia,LtdH8201,,
35372600,Adajia,LtdH820F1,,
35372700,Adajia,LtdH820G,,
35372500,Adajia,LtdK9-SUPER-1400,,
35215000,Adbon Technology,Beijing,ADBON,,
35214900,Adbon,ADBON,,
35215100,Adbon,TechnologyBeijing ADBON,,
35180800,Adcon Telemetry AG,A733 addWAVE GSM,,
35603600,Advanced Wireless Group Ltd,FV828,,
35086810,Advanced Wireless Group Ltd,Mk N Joy DB-2009F,,
35404200,Advanced,WirelessGroup Ltd GEO GC688,,
35086867,Advanced,WirelessGroup Ltd Mk N Joy DB-2009F,,
35086800,Advanced,WirelessGroup Ltd N Joy,,
35222000,Advanced,WirelessGroup Ltd Sewon,Telsda,Daxian: iQ,,
35763403,Afcom,AFCOMI200,,
35878503,Afcom,F66,,
35744703,Afcom,N82,,
35783102,Aiko,17G,,
35607600,Airam,M340,,
35200400,Airam,TSM1,,
35419000,Airam,TSM1,,
35468100,Airam,TSM1,,
35496703,Airfone,AF21,,
35710203,Airfone,AF22,,
35480003,Airfone,AF24,,
35657603,Airfone,AF26,,
35299001,Airness,EML2,,
35159901,Airness,SLIDE99(Airness),,
35384701,Airness,SLIDE99-2,,
01134000,Airo,A25,,
35763600,Airtel,FGD8900,,
35304303,Ajanta,A4200,,
35304003,Ajanta,A5000,,
35285603,Ajanta,QUARTZ A3000,,
